ITEM_NAME,VENDOR,BRAND,VENDOR_CODE,UNIT_TYPE,SUBUNIT,SUBUNIT_SIZE,UNIT_PRICE,LAST_UPDATE,ACCOUNT,FLAG
ARTICHOKE HEARTS QUARTERS,SYSCO,IMPERIAL,4093373,CASE,1,2.5 KG,20.7,9/30/2025,KITCHEN,
AVOCADO HASS CHUNKY FRESH PACKAGED TRAY,SYSCO,CASA SOLANA,4897290,CASE,8,1 LB,52.78,9/23/2025,KITCHEN,
AVOCADO HASS FRESH HALVES INDIVIDUAL,SYSCO,CASA SOLANA,6297594,CASE,48,1.5 OZ,46.08,9/29/2025,KITCHEN,
BACON LAYFLAT 18-22 PER # SMOKED,SYSCO,RELIANCE,1073402,CASE,1,15 LB,88.63,7/9/2025,KITCHEN,
BACON LAYOUT APPLEWOOD,SYSCO,HORMEL,7557301,CASE,1,15 LB,83.27,9/30/2025,KITCHEN,
BAG PLASTIC HIGH DENSITY BUN PAN 27 X 37 ROLL PACK 13 MICRON,SYSCO,CLASSIC,4358958,CASE,1,200 CT,34.01,9/17/2025,BAKERY,
BAG PLASTIC LOW DENSITY RECLOSABLE 2 GALLON 13,SYSCO,CLASSIC,7863662,CASE,1,100 CT,20.39,10/3/2025,KITCHEN,
BANANA FRESH GREEN TIP,SYSCO,PROPACK,1158542,CASE,1,40 LB,28.26,7/9/2025,KITCHEN,
BANANA FRESH GREEN TIP,SYSCO,PROPACK,1079383,CASE,1,10 LB,11.81,7/8/2025,KITCHEN,
BEAN BAKED SLOW COOKED,SYSCO,CLASSIC,8326872,CASE,6,#10,41.5,8/18/2025,KITCHEN,
BEAN BLACK,SYSCO,CASA SOLANA,5844220,CASE,6,#10,39.28,9/26/2025,KITCHEN,
BEAN FRENCH SNIPPED FRESH,SYSCO,IMPERIAL,8405956,CASE,5,1 LB,25.15,7/30/2025,KITCHEN,
BEAN GARBANZO FANCY NO SULFITE,SYSCO,CLASSIC,4062337,CASE,6,#10,42.2,9/22/2025,KITCHEN,
BEAN GREAT NORTHERN FANCY,SYSCO,BUSH BROTHERS,8129645,CASE,6,#10,35.8,7/11/2025,KITCHEN,
BEEF BONE FEMUR 3-4 INCHE FROZEN,SYSCO,BUCKHEAD PRIDE,6322648,LB,1,20 LB,2.194,9/26/2025,KITCHEN,
BEEF CHUCK SHORT RIB BONE-IN,SYSCO,CERTIFIED ANGUS BEEF,3735705,LB,4,4 PC,6.937,7/29/2025,KITCHEN,
BEEF CHUCK SHORT RIB BONELESS COOKED,SYSCO,LITTLE TOWN JERKY,7140938,LB,3,4 LB,13.023,9/30/2025,KITCHEN,
BEEF FLANK 193,SYSCO,CERTIFIED ANGUS BEEF,8754319,LB,8,10 LB,10.59,8/8/2025,KITCHEN,
BEEF FLANK STEAK,SYSCO,BUCKHEAD PRIDE,808564,LB,1,12 LB,12.79,9/26/2025,KITCHEN,
BEEF GROUND FINE 81% LEAN BULK CHUBS,SYSCO,FIRE RIVER FARMS,566838,LB,4,10 LB,5.086,9/16/2025,KITCHEN,
BEEF GROUND FINE 81% LEAN BULK CHUBS,SYSCO,FIRE RIVER FARMS,566709,LB,4,5 LB,5.031,10/3/2025,KITCHEN,
BEEF RIBEYE LIP-ON BONELESS,SYSCO,BUTCHER'S BLOCK,4230967,LB,3,14 LB,13.285,9/26/2025,KITCHEN,
BEEF SAUSAGE BRISKET BURNT END JALAPENO,SYSCO,LL RANCH,7248233,CASE,6,2 LB,71.37,8/26/2025,KITCHEN,
BLEACH CHLORINE LIQUID 5.25%,SYSCO,RELIANCE,1934027,CASE,6,128 OZ,19.54,9/24/2025,KITCHEN,
"BOX PIZZA 12""X12""",SYSCO,ARREZZIO,5787148,CASE,1,50 CT,24.54,7/8/2025,KITCHEN,
BREAD CRUMBS JAPANESE COARSE PANKO,SYSCO,CLASSIC,5495460,CASE,1,25 LB,43.8,9/10/2025,KITCHEN,
BREAD PITA PLAIN,SYSCO,KRONOS,1309863,CASE,12,10 CT,38.22,9/24/2025,KITCHEN,
BREAKFAST BAR NUTRI GRAIN RASPBERRY,SYSCO,KELLOGG'S,5529664,CASE,48,1.3 OZ,33.65,7/11/2025,KITCHEN,
BREAKFAST BAR NUTRI-GRAIN APPLE,SYSCO,KELLOGG'S,5523808,CASE,48,1.3 OZ,33.65,7/11/2025,KITCHEN,
BREAKFAST BAR NUTRI-GRAIN BLUEBERRY,SYSCO,KELLOGG'S,5523816,CASE,48,1.3 OZ,33.65,7/11/2025,KITCHEN,
BREAKFAST BAR NUTRI-GRAIN STRAWBERRY,SYSCO,KELLOGG'S,5523949,CASE,48,1.3 OZ,33.65,7/11/2025,KITCHEN,
BUTTER BALLS .25 OZ SALTED IN BAG,SYSCO,BUTTERBALL FARMS,91449,CASE,6,3 LB,93.01,9/29/2025,KITCHEN,
BUTTER BLEND CLARIFIED WITH VEGETABLE OIL,SYSCO,LAND O LAKES,5055110,CASE,2,8 LB,60.63,9/29/2025,KITCHEN,
BUTTER SOLID UNSALTED USDA AA,SYSCO,WHOLESOME FARMS,3031442,CASE,36,1 LB,100.52,9/29/2025,KITCHEN,
BUTTERMILK 1% CULTURED,SYSCO,WHOLESOME FARMS,5109107,CASE,9,0.5 GAL,24.08,9/24/2025,KITCHEN,
CARROTS BABY CUT PEELED SLIM,SYSCO,IMPERIAL,3597911,CASE,4,5 LB,37.5,9/24/2025,KITCHEN,
CARROTS BABY PEELED TRI-COLOR,SYSCO,PACKER,7680291,CASE,1,5 LB,33.19,8/26/2025,KITCHEN,
CARROTS BABY WITH TOPS HAND PEELED,SYSCO,PACKER,8339590,CASE,1,5 LB,31.39,7/30/2025,KITCHEN,
CARROTS ORGANIC RAINBOW SHREDDED,SYSCO,PACKER,3289446,CASE,2,5 LB,21.31,9/24/2025,KITCHEN,
CEREAL GRANOLA FRUIT BULKPAK,SYSCO,NATURE VALLEY,6045371,CASE,4,50 OZ,50.57,9/19/2025,KITCHEN,
CEREAL HOT OATMEAL VARIETY,SYSCO,QUAKER,1827433,CASE,64,.98 OZ,22.23,9/22/2025,KITCHEN,
CHEESE ASIAGO AGED HALF WHEEL,SYSCO,STELLA,1447473,LB,1,11 LB,4.642,8/29/2025,KITCHEN,
CHEESE BLUE CRUMBLE STYLE CHUNK,SYSCO,IMPERIAL,1012327,CASE,1,5 LB,25.69,8/27/2025,KITCHEN,
CHEESE CHEDDAR MILD FANCY SHREDDED,SYSCO,CASA SOLANA,2822338,CASE,4,5 LB,56.36,9/26/2025,KITCHEN,
CHEESE CHEDDAR MILD SLICED INTERLEAFED .75 OUN,SYSCO,BLOCK & BARREL,3546369,CASE,8,1.5 LB,40.81,9/9/2025,KITCHEN,
CHEESE CHEDDAR SHARP FEATHER SHREDDED WHITE,SYSCO,BLOCK & BARREL,2825061,CASE,4,5 LB,59.85,8/15/2025,KITCHEN,
CHEESE CHEDDAR SMOKED 2.25 LB,SYSCO,PACKER,8009714,LB,2,2 CT,4.621,9/16/2025,KITCHEN,
CHEESE COTTAGE SMALL CURD 2%,SYSCO,WHOLESOME FARMS,8953028,CASE,2,5 LB,24.78,8/27/2025,KITCHEN,
CHEESE COTTAGE SMALL CURD 4%,SYSCO,WHOLESOME FARMS,5440201,CASE,4,5 LB,47.02,7/16/2025,KITCHEN,
CHEESE CREAM BULK,SYSCO,WHOLESOME FARMS,1161181,CASE,1,30 LB,81.03,7/22/2025,KITCHEN,
CHEESE CREAM LIGHT CUP,SYSCO,WHOLESOME FARMS,6261713,CASE,100,1 OZ,26.1,9/29/2025,KITCHEN,
CHEESE CUBE SWISS CHEDDAR PEPPER JACK,SYSCO,BLOCK & BARREL,7222414,CASE,6,2 LB,44.92,9/22/2025,KITCHEN,
CHEESE CUBED CHEDDAR SWISS PEPPER JACK,SYSCO,BLOCK & BARREL,248807,CASE,3,5 LB,60.95,7/9/2025,KITCHEN,
CHEESE FONTINA WHOLE RED WAX USA,SYSCO,ARREZZIO,4069870,LB,1,10 LB,6.023,8/27/2025,KITCHEN,
CHEESE GOAT LOG CHEVRE,SYSCO,BLOCK & BARREL,1140427,CASE,12,10.5 OZ,59.59,9/12/2025,KITCHEN,
CHEESE GRUYERE KING CUTS,SYSCO,BLOCK & BARREL,4507966,LB,2,7 LB,6.579,8/27/2025,KITCHEN,
CHEESE MOZZARELLA CILIEGEN FRESH,SYSCO,ARREZZIO,2491751,CASE,2,3 LB,33.48,9/23/2025,KITCHEN,
CHEESE MOZZARELLA STRING,SYSCO,ARREZZIO,4384214,CASE,168,1 OZ,42.07,7/25/2025,KITCHEN,
CHEESE MUENSTER RED RIND,SYSCO,BLOCK & BARREL,2388205,LB,1,6 LB,3.548,8/20/2025,KITCHEN,
CHEESE PARMESAN SHREDDED FANCY,SYSCO,ARREZZIO,873301,CASE,4,5 LB,109.08,9/29/2025,KITCHEN,
